"site","longitude","latitude","annual_temp","annual_prec","gsl"
"_00300000063701031712",6.58546814487061,47.1692953426947,82.9668426200912,1355.53875328549,214
"_00300000139101142969",6.73426810632238,47.2186656485205,78.6568929527087,1402.57719697685,213
"_00300000139501147266",6.73426810632238,47.2186656485205,78.6568929527087,1402.57719697685,213
"_00300000139901147266",6.68085489453257,47.2113630767911,88.554648868671,1254.97493076074,219
"_00300000454401342796",6.71097370491788,47.2644772173614,94.2665277231326,1101.89675681864,231
"_00300000455201342967",6.73864589238666,47.2816131691418,96.6138073867851,1183.05250274297,231
"_00300000455601342967",6.61486445715033,47.2134418466851,87.102912397139,1287.06963415981,217
"_00300000456301352754",6.73864589238666,47.2816131691418,96.6138073867851,1183.05250274297,231
"_00700000052701066200",6.28704737146737,46.826720497048,77.4464789406104,1460.24111565536,204
"_00800000038901050691",6.39287700132408,47.0489432136163,82.0973588803665,1332.7016443883,209
"_00800000039001050691",6.39287700132408,47.0489432136163,82.0973588803665,1332.7016443883,209
"_00800000039101050691",6.39287700132408,47.0489432136163,82.0973588803665,1332.7016443883,209
"_00800000039201050691",6.33967850240432,47.0414829549532,86.4011742574085,1418.32313764158,221
"_00800000039301050691",6.39287700132408,47.0489432136163,82.0973588803665,1332.7016443883,209
"_00800000039601050691",6.39287700132408,47.0489432136163,82.0973588803665,1332.7016443883,209
"_00800000039701050691",6.39287700132408,47.0489432136163,82.0973588803665,1332.7016443883,209
"_00800000039801050691",6.39287700132408,47.0489432136163,82.0973588803665,1332.7016443883,209
"_00800000039901050691",6.33967850240432,47.0414829549532,86.4011742574085,1418.32313764158,221
"_00800000040101050691",6.33967850240432,47.0414829549532,86.4011742574085,1418.32313764158,221
"_00800000040201050691",6.33967850240432,47.0414829549532,86.4011742574085,1418.32313764158,221
"_00800000040301050691",6.33967850240432,47.0414829549532,86.4011742574085,1418.32313764158,221
"_00800000040701050691",6.33967850240432,47.0414829549532,86.4011742574085,1418.32313764158,221
"_00800000040901050691",6.33967850240432,47.0414829549532,86.4011742574085,1418.32313764158,221
