"species","sla","plant_height","seed_mass","ldmc","leaf_area","lnc_m","lpc_m","lnc_a","vcmax"
"CNICUS BENEDICTUS",30.07,0.396666667,23.2,130.855,2342.75,NA,NA,NA,NA
"COCHLEARIA ANGLICA",21.64,0.19,1.235714286,70,214,NA,NA,NA,NA
"COCHLEARIA DANICA",21.594,0.116,0.245,80,95.67857143,NA,NA,NA,NA
"COCHLEARIA OFFICINALIS",24.95,0.31375,0.510645161,NA,155.25,NA,NA,NA,NA
"COCHLEARIA PYRENAICA",23.38,0.225,0.69,NA,NA,NA,NA,NA,NA
"COLCHICUM AUTUMNALE",19.4,0.30375,6.161666667,131.34,5411.05,18.56,1.55,0.956701031,251.5771645
"COLEOSTEPHUS MYCONIS",NA,NA,0.32,NA,NA,NA,NA,NA,NA
"COLLOMIA GRANDIFLORA",NA,0.5,3.402,NA,NA,NA,NA,NA,NA
"COLUTEA ARBORESCENS",14.83,4.068,15.49733333,236.4325,NA,NA,NA,NA,NA
"CONIUM MACULATUM",25.62428571,1.473636364,2.487333333,209.5316667,30524.47,29.19,2.888749904,1.139153705,299.5555035
"CONOPODIUM MAJUS",22.66222222,0.39,2.417777778,188,446,38.6,2.8,1.703275152,447.8986844
"CONRINGIA ORIENTALIS",30.35,0.365714286,2.388333333,82.6,4746.5,NA,NA,NA,NA
"CONSOLIDA AJACIS",NA,0.81,2.246,NA,NA,NA,NA,NA,NA
"CONSOLIDA REGALIS",24.38,0.353333333,1.063333333,148.405,395.68,NA,NA,NA,NA
"CONVALLARIA MAJALIS",28.79928571,0.221111111,18.41,228.8333333,7124.75,29.93333333,4.5,1.03937763,273.3180676
"CONVOLVULUS ALTHAEOIDES",NA,0.566666667,12.94,NA,NA,15.3,0.8,NA,NA
"CONVOLVULUS ARVENSIS",27.78446809,0.404,10.71241379,182.3043478,714.161875,32.41555556,3.02,1.166679004,306.7936443
"CONVOLVULUS CANTABRICA",19.49,0.3,6.326666667,210,NA,19.58,1.27,1.004617753,264.177499
"CONVOLVULUS LINEATUS",14.34,0.33,5.38,NA,443.5,NA,NA,NA,NA
"COREOPSIS LANCEOLATA",NA,0.6,1.311111111,NA,NA,NA,NA,NA,NA
"CORIARIA MYRTIFOLIA",NA,NA,40.98,NA,NA,NA,NA,NA,NA
"CORIS MONSPELIENSIS",NA,0.25,0.74,NA,NA,NA,NA,NA,NA
"CORNUS MAS",27.92,6.187058824,195.886875,218.3775,1633.046667,12.8,1.72,0.458452722,120.5561948
"CORNUS SANGUINEA",16.50032258,3.694594595,62.75052632,337.5675676,1522.668649,21.60482759,2.164965361,1.309357892,344.3129411
"CORONILLA CORONATA",16.61,0.453333333,10.26,196.0675,243.175,NA,NA,NA,NA
"CORONILLA JUNCEA",NA,NA,3.984,NA,NA,NA,NA,NA,NA
"CORONILLA MINIMA",12.50276042,0.035277778,1.845276471,238.5136344,0.746207936,24.68020833,1.355563636,1.973980746,519.0842937
"CORONILLA SCORPIOIDES",26.905,0.185,0.11,NA,284.695,NA,NA,NA,NA
"CORONILLA VAGINALIS",17.62,0.082,4.838,164.2,64.53,NA,NA,NA,NA
"CORRIGIOLA LITTORALIS",28.76333333,0.227777778,0.314444444,133.3333333,21.64,NA,NA,NA,NA
"CORRIGIOLA TELEPHIIFOLIA",NA,NA,0.26,NA,NA,NA,NA,NA,NA
"CORTADERIA SELLOANA",5.125,2.02,0.14,450,14429.135,11.19,1.581577144,2.183414634,574.1576991
"CORYDALIS INTERMEDIA",NA,0.175,NA,NA,NA,NA,NA,NA,NA
"CORYDALIS SOLIDA",43.34,0.151428571,2.423333333,146.595,1675.855,NA,NA,NA,NA
"CORYLUS AVELLANA",16.38960784,5.0384,903.4866667,392.0895522,3895.477206,23.75047619,1.720534022,1.449118028,381.0647137
"CORYNEPHORUS CANESCENS",14.33857143,0.223333333,0.1,388.45,33.5,28.6,NA,1.994619906,524.5116334
"COTA TINCTORIA",15.915,0.52,0.452142857,213.6966667,486.0625,19.12,NA,1.201382344,315.9193455
"COTA TRIUMFETTI",18.055,0.1,0.255,NA,90.3,NA,NA,NA,NA
"COTINUS COGGYGRIA",9.55,2.3,8.939285714,NA,NA,NA,NA,NA,NA
"COTONEASTER",NA,NA,41.1,NA,675,NA,NA,NA,NA
"COTONEASTER HORIZONTALIS",11.425,1.224,9.318571429,400,40,NA,NA,NA,NA
"COTONEASTER INTEGERRIMUS",13.44857143,0.716428571,15.9575,347.2545622,513.555,30.18559969,3.13,2.244520903,590.2263992
"COTONEASTER SIMONSII",NA,1.75,14.425,NA,NA,NA,NA,NA,NA
"COTONEASTER TOMENTOSUS",NA,1.857142857,13.25,NA,NA,NA,NA,NA,NA
"COTULA CORONOPIFOLIA",36.23,0.168,0.066,60,194,NA,NA,NA,NA
"CRAMBE MARITIMA",9.173333333,0.501111111,73.95444444,96.66666667,34629.255,NA,NA,NA,NA
"CRASSULA TILLAEA",NA,0.035714286,0.01,NA,NA,NA,NA,NA,NA
"CRATAEGUS LAEVIGATA",20.976,8.4375,109.2033333,345.3775,730,25.3,2,1.206140351,317.1705263
"CRATAEGUS MONOGYNA",11.50162602,6.820714286,105.3328205,410.4657534,578.7085333,18.19181818,1.28200776,1.581673596,415.9219502
"CREPIS",NA,NA,NA,NA,3019,NA,NA,NA,NA
"CREPIS ALPESTRIS",NA,0.2075,0.82,NA,NA,NA,NA,NA,NA
"CREPIS AUREA",33.835,0.095966667,1.04,171.325,NA,20.58,NA,0.608245899,159.946288
"CREPIS BIENNIS",30.4911285,0.76804,1.09275,125.1813128,6087.5,25.5,2.993527508,0.83630883,219.9184461
"CREPIS CAPILLARIS",28.13944444,0.465555556,0.222666667,125.6385714,1585.665,26.3,1.508,0.934631103,245.7735857
"CREPIS CONYZIFOLIA",20.452,0.316928571,3.123333333,223.05,NA,21.154,1.43375,1.034324271,271.9892203
"CREPIS FOETIDA",22.33833333,0.230555556,0.428,133.3333333,738,22,3.39,0.984854137,258.9803954
"CREPIS MOLLIS",NA,0.434,0.8,NA,NA,NA,NA,NA,NA
"CREPIS NICAEENSIS",NA,0.625,NA,NA,NA,NA,NA,NA,NA
"CREPIS PALUDOSA",37.37,0.68125,0.571818182,140,2260,24.66666667,NA,0.660066007,173.5730693
"CREPIS PONTANA",NA,0.4175,NA,NA,NA,NA,NA,NA,NA
"CREPIS PRAEMORSA",NA,0.2475,0.34,NA,NA,NA,NA,NA,NA
"CREPIS PULCHRA",NA,0.55,0.38,NA,NA,NA,NA,NA,NA
"CREPIS PYRENAICA",28.52,0.388875,2.174,202.74,3049.25,26.215,1.508,0.919179523,241.7103888
"CREPIS SANCTA",23.56605753,0.027145708,0.129234545,140.9522143,NA,14.256,1.918366411,0.604937842,159.0763909
"CREPIS SETOSA",NA,0.378,NA,NA,NA,NA,NA,NA,NA
"CREPIS TECTORUM",20.99571429,0.412857143,NA,150,152.014,14.21,NA,0.67680479,177.9747534
"CREPIS VESICARIA",18.8230594,0.479571429,0.2919,164.9635606,1080.5,20.79475254,1.913371602,1.104748814,290.5082832
"CREPIS ZACINTHA",NA,NA,27.55,NA,NA,NA,NA,NA,NA
"CRITHMUM MARITIMUM",9.225,0.316666667,3.47,90,268,NA,NA,NA,NA
"CROCUS ALBIFLORUS",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CROCUS FLAVUS",16.59,0.134,NA,NA,NA,35.765,NA,2.155816757,566.9004731
"CRUCIANELLA ANGUSTIFOLIA",NA,0.3,NA,NA,NA,NA,NA,NA,NA
"CRUCIANELLA LATIFOLIA",NA,NA,0.78,NA,NA,NA,NA,NA,NA
"CRUCIATA GLABRA",24.275,0.246666667,1.43,NA,NA,17,NA,0.70030896,184.1554851
"CRUCIATA LAEVIPES",27.76076923,0.43875,3.516,235.4285714,73.545,23.98,NA,0.863808917,227.149957
"CRUCIATA PEDEMONTANA",NA,NA,0.32,NA,NA,NA,NA,NA,NA
"CRUPINA CRUPINASTRUM",NA,NA,9,NA,NA,NA,NA,NA,NA
"CRUPINA VULGARIS",NA,NA,8.74,NA,NA,NA,NA,NA,NA
"CRYPSIS ACULEATA",NA,NA,0.3,NA,NA,NA,3.57,NA,NA
"CRYPSIS ALOPECUROIDES",NA,NA,0.416,NA,NA,NA,NA,NA,NA
"CRYPSIS SCHOENOIDES",NA,NA,0.236666667,NA,NA,NA,NA,NA,NA
"CRYPTOGRAMMA CRISPA",20.5,0.26,NA,NA,7,NA,NA,NA,NA
"CUCUBALUS BACCIFER",NA,1.058333333,1.35,NA,NA,NA,NA,NA,NA
"CUPRESSUS SEMPERVIRENS",5.82,32.5,7.807272727,NA,NA,8.006666667,0.7,1.375715922,361.7626612
"CUSCUTA APPROXIMATA",NA,NA,0.33,NA,NA,NA,NA,NA,NA
"CUSCUTA CAMPESTRIS",NA,0.466666667,0.798,NA,NA,NA,NA,NA,NA
"CUSCUTA EPILINUM",NA,0.483333333,0.586666667,NA,NA,NA,NA,NA,NA
"CUSCUTA EPITHYMUM",NA,0.5125,0.35625,NA,NA,NA,NA,NA,NA
"CUSCUTA EUROPAEA",NA,1.225,0.470588235,NA,NA,NA,NA,NA,NA
"CUSCUTA PLANIFLORA",NA,NA,0.09,NA,NA,NA,NA,NA,NA
"CUSCUTA SCANDENS",NA,0.425,NA,NA,NA,NA,NA,NA,NA
"CUSCUTA SUAVEOLENS",NA,0.425,0.82,NA,NA,NA,NA,NA,NA
"CYANUS MONTANUS",32.54461538,0.487666667,11.20142857,176.856,5495,26.3025,1.217,0.808198213,212.5263884
"CYANUS SEGETUM",21.06,0.623333333,4.0925,178.765,488,NA,NA,NA,NA
"CYCLAMEN HEDERIFOLIUM",NA,NA,4.14,NA,NA,NA,NA,NA,NA
"CYCLAMEN PURPURASCENS",NA,0.116666667,7,NA,NA,NA,NA,NA,NA
"CYDONIA OBLONGA",NA,5.07125,31.55,NA,NA,NA,NA,NA,NA
"CYMBALARIA MURALIS",25.50142857,0.36,0.144285714,82.5,875.5,NA,NA,NA,NA
"CYNANCHUM ACUTUM",NA,NA,10.4,NA,NA,NA,NA,NA,NA
"CYNODON DACTYLON",23.884,0.228857143,0.186785714,266.36375,81.385,28.995,3.093468326,1.213992631,319.235387
"CYNOGLOSSUM CRETICUM",NA,NA,21.375,NA,NA,NA,NA,NA,NA
"CYNOGLOSSUM GERMANICUM",NA,0.633333333,18.63833333,NA,NA,NA,NA,NA,NA
"CYNOGLOSSUM OFFICINALE",20.882,0.647,27.49235294,143.275,3173.666667,NA,NA,NA,NA
"CYNOSURUS CRISTATUS",23.37867914,0.486796429,0.48608,254.143369,358.312,23.095,0.506,0.987865904,259.7723793
"CYNOSURUS ECHINATUS",NA,0.483333333,1.496,NA,NA,NA,NA,NA,NA
"CYPERUS",19.54764706,0.095555556,NA,310.6666667,795.6553704,10.41857143,NA,0.532983402,140.1550209
"CYPERUS CAPITATUS",NA,NA,2.066666667,NA,NA,NA,NA,NA,NA
"CYPERUS ERAGROSTIS",NA,NA,0.1125,NA,NA,NA,NA,NA,NA
"CYPERUS ESCULENTUS",27.29,0.405,0.16,NA,NA,NA,NA,NA,NA
"CYPERUS FLAVESCENS",34.21,0.202857143,0.093333333,140,141.5,NA,NA,NA,NA
"CYPERUS FUSCUS",41.61,0.196,0.059473684,131.125,171,NA,NA,NA,NA
"CYPERUS LONGUS",21.96,0.801111111,0.14,233.835,1247,NA,NA,NA,NA
"CYPERUS MICHELIANUS",NA,0.08,0.03,NA,NA,NA,NA,NA,NA
"CYPERUS REFLEXUS",11.6525,0.15,0.02,NA,1150.11,NA,NA,NA,NA
"CYPERUS ROTUNDUS",NA,NA,0.203333333,NA,475,NA,NA,NA,NA
"CYPERUS SEROTINUS",NA,NA,0.06,NA,NA,NA,NA,NA,NA
"CYPRIPEDIUM CALCEOLUS",NA,0.435,NA,NA,NA,NA,NA,NA,NA
"CYSTOPTERIS ALPINA",NA,0.32,NA,NA,NA,NA,NA,NA,NA
"CYSTOPTERIS FRAGILIS",21.41333333,0.377142857,NA,244,1970,NA,NA,NA,NA
"CYSTOPTERIS MONTANA",NA,0.375,NA,NA,NA,NA,NA,NA,NA
"CYTISOPHYLLUM SESSILIFOLIUM",NA,NA,14.94583333,NA,NA,NA,NA,NA,NA
"CYTISUS HIRSUTUS",NA,NA,5.72,NA,NA,NA,NA,NA,NA
"CYTISUS MULTIFLORUS",NA,2.14,4.958333333,NA,NA,NA,NA,NA,NA
"CYTISUS OROMEDITERRANEUS",NA,1.5,10.3,NA,NA,NA,NA,NA,NA
"CYTISUS SCOPARIUS",15.99568182,1.713043478,7.902857143,240,19.01333333,30.36363636,1.170630962,1.898239582,499.1671548
"CYTISUS SUPINUS",NA,0.8,5.9,NA,NA,NA,NA,NA,NA
"CYTISUS TRIFLORUS",NA,NA,5.975,NA,NA,NA,NA,NA,NA
"CYTISUS VILLOSUS",NA,NA,7.096666667,NA,NA,NA,NA,NA,NA
"DABOECIA CANTABRICA",NA,0.5,0.13,NA,NA,NA,NA,NA,NA
"DACTYLIS GLOMERATA",23.74747148,0.564884025,0.833011348,266.2131773,1628.971146,24.41564775,2.130281201,1.028136733,270.3621254
"DACTYLORHIZA FUCHSII",23.262,NA,NA,125,3188.5,NA,NA,NA,NA
"DACTYLORHIZA INCARNATA",20.33,0.75,NA,144.2333333,2540.625,NA,NA,NA,NA
"DACTYLORHIZA MACULATA",21.832,0.5225,NA,115.375,1384.866667,NA,NA,NA,NA
"DACTYLORHIZA MAJALIS",27.87,0.56,NA,130,2940.5,NA,NA,NA,NA
"DACTYLORHIZA PRAETERMISSA",20.76,NA,NA,NA,NA,NA,NA,NA,NA
"DACTYLORHIZA SAMBUCINA",24.47,0.215714286,NA,110,1132.79,NA,NA,NA,NA
"DACTYLORHIZA TRAUNSTEINERI",25.93,0.14,NA,122.6666667,681.345,NA,NA,NA,NA
"DACTYLORHIZA VIRIDIS",21.46833333,0.196666667,NA,152.4,459.5533333,33.84,NA,1.576275134,414.5023533
"DAMASONIUM ALISMA",NA,0.3,1.688888889,NA,NA,NA,NA,NA,NA
"DANTHONIA ALPINA",NA,0.3925,NA,NA,NA,NA,NA,NA,NA
"DANTHONIA DECUMBENS",17.18274252,0.262067368,1.177565217,339.3109299,438.17,18.53233333,1.345949753,1.078543388,283.6172206
"DAPHNE CNEORUM",NA,0.233333333,NA,NA,NA,NA,NA,NA,NA
"DAPHNE GNIDIUM",6.28,1.405,7.49,NA,103.2,23.565,3.46,3.752388535,986.7400968
"DAPHNE LAUREOLA",9.29,1.011111111,NA,274.585,1518.5,NA,NA,NA,NA
"DAPHNE MEZEREUM",23.6872,1.221875,77.31428571,217.15,408.8289474,23.85,2.722610628,1.00687291,264.7705225
"DAPHNE STRIATA",NA,0.285,NA,NA,NA,NA,NA,NA,NA
"DASYPYRUM VILLOSUM",NA,NA,7.47,NA,NA,NA,NA,NA,NA
"DATURA STRAMONIUM",22.01714286,1.25,8.854736842,130.295,14739.875,57.73,2.55534,2.622047755,689.5020682
"DAUCUS CAROTA",18.85788168,0.44165679,1.049535714,240.4477106,1136.89283,25.14348485,2.626455998,1.333314382,350.6126164
"DELPHINIUM ELATUM",NA,1.6125,2.183333333,NA,NA,NA,NA,NA,NA
"DELPHINIUM FISSUM",NA,NA,2.2,NA,NA,NA,NA,NA,NA
"DELPHINIUM PICTUM",17.59,NA,5.16,NA,NA,39.1,NA,2.222853894,584.5287732
"DESCHAMPSIA CESPITOSA",15.23763636,0.6889,0.2465,325.1927586,456.4472727,17.92111111,1.689671246,1.176108334,309.2732109
"DESCHAMPSIA FLEXUOSA",19.25,0.340243243,0.401714286,355.5194737,55.252,21.07064516,1.591083814,1.094578969,287.8339885
"DESCHAMPSIA MEDIA",NA,0.35,NA,NA,NA,NA,NA,NA,NA
"DESCHAMPSIA SETACEA",15.63,0.344,0.115,300,20,NA,NA,NA,NA
"DESCURAINIA SOPHIA",22.61,0.555555556,0.104,170.9775,765.75,46.94,2.54,2.076072534,545.930677
"DIANTHUS",NA,NA,0.88,NA,NA,NA,NA,NA,NA
"DIANTHUS ARMERIA",14.88,0.467142857,0.29,180,231,NA,NA,NA,NA
"DIANTHUS BARBATUS",15.93,0.453333333,1.074,220,1125.5,NA,NA,NA,NA
"DIANTHUS CARTHUSIANORUM",18.0825,0.41,1.322,NA,180.7,NA,NA,NA,NA
"DIANTHUS CARYOPHYLLUS",NA,0.42625,0.955555556,NA,NA,NA,NA,NA,NA
"DIANTHUS DELTOIDES",19.28333333,0.258,0.185714286,355,22.13,NA,NA,NA,NA
"DIANTHUS GRATIANOPOLITANUS",15.74,0.14,1.115,234.16,72.75,NA,NA,NA,NA
"DIANTHUS HYSSOPIFOLIUS",NA,0.348,0.805,NA,NA,25.8,2.6,NA,NA
"DIANTHUS PUNGENS",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIANTHUS SEGUIERI",18.74,0.386,1.145555556,NA,NA,17.66,NA,0.942369264,247.8084371
"DIANTHUS SUPERBUS",22.43,0.478571429,0.3025,189.0425,389.6666667,NA,NA,NA,NA
"DIATELIA TUBERARIA",NA,0.4,0.176666667,NA,NA,NA,NA,NA,NA
"DICTAMNUS ALBUS",20.955,0.891666667,14.51375,213.94,911.02,NA,NA,NA,NA
"DIGITALIS GRANDIFLORA",27.53,0.83,0.17,180.835,4287.75,21.6,NA,0.78459862,206.3205637
"DIGITALIS LUTEA",23.5,0.52,0.205,170.75,3647,NA,NA,NA,NA
"DIGITALIS PURPUREA",22.26153846,1.120714286,0.085357143,241.25,32204,37.8,4.4,1.697995853,446.5104232
"DIGITARIA SANGUINALIS",31.7675,0.412,0.516,171.685,504.805,13.145,NA,0.413787676,108.8109314
"DIOSCOREA COMMUNIS",29.94714286,2.642857143,17.878,150.5,7587,NA,NA,NA,NA
"DIPCADI SEROTINUM",NA,0.2,1.55,NA,NA,NA,NA,NA,NA
"DIPHASIASTRUM ALPINUM",12.35666667,0.07,9e-04,323.0175,62.5,NA,NA,NA,NA
"DIPHASIASTRUM COMPLANATUM",6.535,0.162857143,NA,275,134.5,7.88,0.763333333,1.205814843,317.0849298
"DIPHASIASTRUM TRISTACHYUM",NA,0.2,NA,NA,NA,NA,NA,NA,NA
"DIPLOTAXIS ERUCOIDES",26.36,0.5,0.2,122.29,NA,NA,NA,NA,NA
"DIPLOTAXIS MURALIS",20.96,0.291111111,0.227777778,135.705,710.5,NA,NA,NA,NA
"DIPLOTAXIS TENUIFOLIA",22.448,0.54,0.308571429,109,2296,NA,NA,NA,NA
"DIPLOTAXIS VIMINEA",NA,0.165,NA,NA,NA,NA,NA,NA,NA
"DIPSACUS FULLONUM",19.70153846,1.378964286,2.475,168.9,16493.5,13.8,3.363333333,0.700452913,184.1933394
"DIPSACUS LACINIATUS",NA,1.053333333,3.49,NA,NA,NA,NA,NA,NA
"DIPSACUS PILOSUS",47.484,0.821428571,4.9825,99.41833333,8154.833333,NA,NA,NA,NA
"DIPSACUS SATIVUS",NA,1.424,0.7825,NA,NA,NA,NA,NA,NA
"DITTRICHIA GRAVEOLENS",NA,0.5,0.38,NA,NA,NA,NA,NA,NA
"DITTRICHIA VISCOSA",18.57,0.75,0.491111111,NA,NA,34,NA,1.83091007,481.4619709
"DORONICUM AUSTRIACUM",NA,1,NA,NA,NA,NA,NA,NA,NA
"DORONICUM CLUSII",20.49,NA,0.77,NA,NA,40.4,NA,1.971693509,518.4828346
"DORONICUM GRANDIFLORUM",NA,0.4075,NA,NA,NA,NA,NA,NA,NA
"DORONICUM PARDALIANCHES",33.422,0.752857143,0.27,121.5,6389.5,NA,NA,NA,NA
"DORYCNIUM HIRSUTUM",21.08,0.5,4.293333333,NA,56,31.92,NA,1.514231499,398.1871605
"DORYCNIUM PENTAPHYLLUM",11.42,0.469166667,2.44,NA,NA,NA,NA,NA,NA
"DORYCNIUM RECTUM",NA,NA,1.07,NA,NA,NA,NA,NA,NA
"DRABA AIZOIDES",17.41,0.06,0.208181818,279.84,10.615,NA,NA,NA,NA
"DRABA DUBIA",NA,0.0675,0.15,NA,NA,NA,NA,NA,NA
"DRABA FLADNIZENSIS",NA,0.0375,0.22,NA,NA,19.2,2.3,NA,NA
"DRABA HOPPEANA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DRABA INCANA",NA,0.175,0.12,NA,NA,NA,NA,NA,NA
"DRABA MURALIS",25.97285714,0.192222222,0.042727273,168.25,279,NA,NA,NA,NA
"DRABA NEMOROSA",NA,NA,0.0275,NA,NA,NA,NA,NA,NA
"DRABA SILIQUOSA",NA,0.035,NA,NA,NA,NA,NA,NA,NA
"DRABA TOMENTOSA",NA,0.0675,0.15,NA,NA,NA,NA,NA,NA
"DRACOCEPHALUM AUSTRIACUM",NA,NA,0.54,NA,NA,NA,NA,NA,NA
"DRACOCEPHALUM RUYSCHIANA",NA,0.5,NA,NA,NA,NA,NA,NA,NA
"DROSERA ANGLICA",26.415,0.112857143,0.026153846,110,89.195,NA,NA,NA,NA
"DROSERA INTERMEDIA",28.51,0.084285714,0.02625,170,22.04,NA,NA,NA,NA
"DROSERA ROTUNDIFOLIA",40.472,0.106153846,0.015555556,136.8375,59.375,12,1.8,0.296501285,77.96892667
"DRYAS OCTOPETALA",13.86783784,0.2025,0.496363636,321.25,264.6389474,18.97348837,1.333333333,1.368164857,359.7770089
"DRYOPTERIS",NA,NA,NA,NA,675,NA,NA,NA,NA
"DRYOPTERIS AFFINIS",25.09,1.48,NA,246.288,54489.25,NA,NA,NA,NA
"DRYOPTERIS CARTHUSIANA",24.93,0.548333333,NA,275.6,18468,24.04,NA,0.96430004,253.5754243
"DRYOPTERIS CRISTATA",NA,0.663333333,NA,NA,NA,NA,NA,NA,NA
"DRYOPTERIS DILATATA",21.4725,0.8925,0.001,270,47361.445,22.03,2.502775319,1.025963442,269.7906297
"DRYOPTERIS EXPANSA",20.886,1.2,NA,269,60541.46,NA,NA,NA,NA
"DRYOPTERIS FILIX-MAS",24.036,0.9,NA,316.6666667,95617,NA,NA,NA,NA
"DRYOPTERIS VILLARII",NA,0.375,NA,NA,NA,NA,NA,NA,NA
"DUCHESNEA INDICA",30.28,0.145,0.3,220,1547.73,28.06,2.702205705,0.92668428,243.6838637
"DYSPHANIA AMBROSIOIDES",27.79,0.768,0.286363636,164.275,1201.25,NA,3.9,NA,NA
"DYSPHANIA BOTRYS",NA,0.62,0.184285714,NA,NA,NA,NA,NA,NA
"ECBALLIUM ELATERIUM",NA,NA,7.566666667,NA,NA,38.25,2.5,NA,NA
"ECHINARIA CAPITATA",NA,NA,1.1,NA,NA,NA,NA,NA,NA
"ECHINOCHLOA CRUS-GALLI",25.70444444,0.73,1.585,242,2287.875,NA,NA,NA,NA
"ECHINOPS RITRO",9.724444444,0.5,26.73333333,182.5,2116.733333,20.705,NA,2.129170475,559.8934815
"ECHINOPS SPHAEROCEPHALUS",NA,1.395,15.12,NA,NA,NA,NA,NA,NA
"ECHINOSPARTUM HORRIDUM",NA,0.8,NA,NA,NA,NA,NA,NA,NA
"ECHIUM ITALICUM",NA,NA,6.3,NA,NA,NA,NA,NA,NA
"ECHIUM PLANTAGINEUM",16.34,0.355714286,3.723333333,230,NA,16.98,1.895,1.039167687,273.2628602
"ECHIUM VULGARE",14.762,0.786153846,2.776363636,141,4523,23.6,1.7,1.598699363,420.3991004
"EGERIA DENSA",NA,0.6,NA,NA,NA,NA,NA,NA,NA
"ELAEAGNUS ANGUSTIFOLIA",12.4,8.4825,122.9578571,NA,1120,39.8,0.84,3.209677419,844.0270452
"ELATINE ALSINASTRUM",NA,0.42,NA,NA,NA,NA,NA,NA,NA
"ELATINE HEXANDRA",66.57,0.095,0.018,230,2.02,NA,NA,NA,NA
"ELATINE HYDROPIPER",44.19,0.095,0.143333333,181.39,2.99,NA,NA,NA,NA
"ELATINE TRIANDRA",NA,0.0725,NA,NA,NA,NA,NA,NA,NA
"ELEOCHARIS ACICULARIS",75.27,0.128333333,0.045,145.175,13.25,NA,NA,NA,NA
"ELEOCHARIS MAMILLATA",NA,0.33,0.706363636,NA,NA,NA,NA,NA,NA
"ELEOCHARIS MULTICAULIS",7.79,0.4,0.23,277.55,172.5,NA,NA,NA,NA
"ELEOCHARIS OVATA",NA,0.281666667,0.158333333,NA,NA,NA,NA,NA,NA
"ELEOCHARIS PALUSTRIS",12.10714286,0.453571429,0.7,210,197.056,21.3525,1.972986475,1.763628319,463.7693463
"ELEOCHARIS PARVULA",NA,0.124,NA,NA,NA,NA,NA,NA,NA
"ELEOCHARIS QUINQUEFLORA",8.89,0.191666667,0.8525,305.845,58.5,NA,NA,NA,NA
"ELEOCHARIS UNIGLUMIS",14.64666667,0.328,1.3275,181.38,461.75,NA,NA,NA,NA
"ELODEA CANADENSIS",35.81571429,0.6,NA,270.1825,18.66666667,40.1,NA,1.119620278,294.4189312
"ELODEA NUTTALII",26.05666667,0.6,NA,253.3333333,18,NA,NA,NA,NA
"ELYTRIGIA ATHERICA",NA,0.66,4.653333333,NA,NA,NA,NA,NA,NA
"ELYTRIGIA CAMPESTRIS",NA,0.7,2.673,NA,NA,NA,NA,NA,NA
"ELYTRIGIA ELONGATA",NA,NA,5.26,NA,NA,NA,NA,NA,NA
"ELYTRIGIA INTERMEDIA",NA,0.675,5.393333333,NA,NA,14.6,2.3,NA,NA
"ELYTRIGIA JUNCEA",8.865,0.65,16.44272727,280,225.5,NA,NA,NA,NA
"ELYTRIGIA REPENS",21.63115924,0.745813164,2.18,305.8074809,1191.577708,28.84942618,2.576231387,1.333697647,350.7134011
"ELYTRIGIA X",NA,NA,6.7,NA,NA,NA,NA,NA,NA
"ELYTRIGIA X LAXA",9.76,0.6,4.0275,NA,1760,NA,NA,NA,NA
"EMEX SPINOSA",NA,NA,8.6,NA,NA,NA,NA,NA,NA
"EMPETRUM NIGRUM",8.570943396,0.265357143,0.951428571,390.8823529,4.8378125,11.611875,0.971607681,1.354795437,356.2613433
"EPHEDRA DISTACHYA",NA,NA,NA,NA,NA,NA,0.915,NA,NA
"EPILOBIUM",NA,NA,0.18,NA,675,NA,NA,NA,NA
"EPILOBIUM ALPESTRE",32.53,0.8125,0.12,210,517.5,NA,NA,NA,NA
"EPILOBIUM ALSINIFOLIUM",NA,0.208333333,0.096666667,NA,NA,NA,NA,NA,NA
"EPILOBIUM ANAGALLIDIFOLIUM",23.534,0.071666667,0.061538462,285.8783333,23.78,NA,NA,NA,NA
"EPILOBIUM ANGUSTIFOLIUM",18.04737705,0.978596491,0.1403125,269.5032665,2515.509355,32.03553164,2.979686314,1.775079645,466.7806236
"EPILOBIUM CILIATUM",30.8725,1.035,0.067777778,159.11625,917.9375,NA,NA,NA,NA
"EPILOBIUM COLLINUM",NA,0.325,0.05,NA,NA,NA,NA,NA,NA
"EPILOBIUM DODONAEI",11.53,0.596666667,0.216,200,122,NA,NA,NA,NA
"EPILOBIUM HIRSUTUM",28.18086957,1.532352941,0.118125,206.5,1855.583333,33.0125,3.4,1.171450722,308.0484305
"EPILOBIUM LANCEOLATUM",NA,0.471428571,0.096666667,NA,NA,NA,NA,NA,NA
"EPILOBIUM MONTANUM",26.32842105,0.57625,0.118888889,228,2187,NA,NA,NA,NA
"EPILOBIUM NUTANS",22.4,0.16,0.07,197.08,138.75,NA,NA,NA,NA
"EPILOBIUM OBSCURUM",30.522,0.764285714,0.075,132.5,1161,NA,NA,NA,NA
"EPILOBIUM PALUSTRE",36.07923077,0.406428571,0.065333333,151.6872727,492.3333333,15.08,3.538,0.417969,109.9104657
"EPILOBIUM PARVIFLORUM",30.01,0.625,0.084285714,158.5,779,NA,NA,NA,NA
"EPILOBIUM ROSEUM",48.29,0.601428571,0.088333333,150,654,NA,NA,NA,NA
"EPILOBIUM TETRAGONUM",16.35,0.751666667,0.101875,NA,NA,NA,NA,NA,NA
